HTTP : POST 		 2023-06-17T12:20:09.534Z		 translate : false		 query: Tell me about extracarricular activities
HTTP : POST 		 2023-07-08T14:14:01.039Z		 translate : false		 query: cse non teaching faculty
HTTP : POST 		 2023-07-08T14:14:08.084Z		 translate : false		 query: cse teaching faculty
HTTP : POST 		 2023-07-08T14:14:18.876Z		 translate : true		 query: cse non teaching faculty
HTTP : POST 		 2023-07-08T14:14:24.554Z		 translate : true		 query: cse teaching faculty
HTTP : POST 		 2023-07-08T14:15:19.222Z		 translate : true		 query: cse teaching faculty
HTTP : POST 		 2023-07-08T14:16:15.320Z		 translate : true		 query: cse non teaching faculty
HTTP : POST 		 2023-07-08T14:16:25.862Z		 translate : true		 query: cse teaching faculty
HTTP : POST 		 2023-07-08T14:23:57.491Z		 translate : true		 query: cse teaching faculty
HTTP : POST 		 2023-07-08T14:24:19.826Z		 translate : true		 query: cse teaching faculty
HTTP : POST 		 2023-07-08T14:24:32.069Z		 translate : true		 query: pta
HTTP : POST 		 2023-07-08T14:28:36.175Z		 translate : true		 query: pta
HTTP : POST 		 2023-07-08T14:29:15.829Z		 translate : true		 query: pta
HTTP : POST 		 2023-07-08T14:29:47.491Z		 translate : true		 query: cse faculty
HTTP : POST 		 2023-07-08T14:30:09.450Z		 translate : false		 query: cse faculty
HTTP : POST 		 2023-07-08T14:30:23.582Z		 translate : true		 query: cse faculty
HTTP : POST 		 2023-07-08T14:30:35.238Z		 translate : false		 query: cse faculty
HTTP : POST 		 2023-07-08T14:32:00.599Z		 translate : true		 query: cse faculty
HTTP : POST 		 2023-07-08T14:32:13.640Z		 translate : false		 query: cse faculty
HTTP : POST 		 2023-07-08T14:32:48.559Z		 translate : false		 query: nss unit
HTTP : POST 		 2023-07-08T14:32:57.460Z		 translate : true		 query: nss unit
HTTP : POST 		 2023-07-08T14:43:02.082Z		 translate : true		 query: tell me about ucke
HTTP : POST 		 2023-07-08T14:43:14.789Z		 translate : false		 query: tell me about courses
HTTP : POST 		 2023-07-08T14:46:10.884Z		 translate : false		 query: tell me about courses
HTTP : POST 		 2023-07-08T14:46:40.419Z		 translate : false		 query: askdnfa jsndjfkasnd nafsjdfj kasdnf sjdn snd asndjf  j nfas  jsdf jasd fn nkj nkjdsnjasdsjk fnasdf jksdnfajkdsndfjkansdjf nasd asjkd fnasdnf asdjf  sdjf nasjk
HTTP : POST 		 2023-07-08T14:46:54.937Z		 translate : false		 query: pta
HTTP : POST 		 2023-07-08T14:54:32.793Z		 translate : false		 query: faculty
HTTP : POST 		 2023-07-08T14:59:53.371Z		 translate : false		 query: faculty
HTTP : POST 		 2023-07-08T15:00:21.691Z		 translate : false		 query: faculty
HTTP : POST 		 2023-07-08T15:00:36.768Z		 translate : false		 query: faculty
HTTP : POST 		 2023-07-08T15:01:04.750Z		 translate : false		 query: faculty
HTTP : POST 		 2023-07-08T15:22:21.276Z		 translate : false		 query: faculty
HTTP : POST 		 2023-07-08T15:22:53.221Z		 translate : true		 query: faculty
HTTP : POST 		 2023-07-08T15:23:21.971Z		 translate : true		 query: faculty
HTTP : POST 		 2023-07-08T16:45:40.702Z		 translate : true		 query: hi
HTTP : POST 		 2023-07-08T16:48:12.482Z		 translate : true		 query: hi
HTTP : POST 		 2023-07-08T16:53:19.315Z		 translate : false		 query: hi
HTTP : POST 		 2023-07-08T16:53:27.348Z		 translate : true		 query: hi
HTTP : POST 		 2023-07-08T16:54:21.129Z		 translate : true		 query: dsa
HTTP : POST 		 2023-07-08T16:55:37.015Z		 translate : true		 query: asdf
HTTP : POST 		 2023-07-08T16:56:36.661Z		 translate : true		 query: hi
HTTP : POST 		 2023-07-08T16:59:23.143Z		 translate : true		 query: asdf
HTTP : POST 		 2023-07-08T17:00:09.189Z		 translate : true		 query: asdf
HTTP : POST 		 2023-07-08T17:00:50.655Z		 translate : true		 query: adf
HTTP : POST 		 2023-07-08T17:01:13.730Z		 translate : true		 query: adsf
HTTP : POST 		 2023-07-08T17:02:09.190Z		 translate : true		 query: adsf
HTTP : POST 		 2023-07-08T17:03:19.786Z		 translate : true		 query: asfd
